State,Hour_zone     
Connecticut,Eastern
Delaware,Eastern
Georgia,Eastern
Maine,Eastern
Marylanmd,Eastern
Massachusetts,Eastern
New Hampshire,Eastern
New Jersey,Eastern
New York,Eastern
North Carolina,Eastern
Ohio,Eastern
Pennsylvania,Eastern
Rhode Island,Eastern
South Carolina,Eastern
Vermont,Eastern
Virginia,Eastern
West Virginia,Eastern
Washington DC,Eastern
Florida,Eastern
Indiana,Eastern
Kentucky,Eastern
Michigan,Eastern
Tennessee,Eastern
Alabama,Central
Arkansas,Central
Illinois,Central
Iowa,Central
Louisiana,Central
Minnesota,Central
Mississippi,Central
Missouri,Central
Oklahoma,Central
Wisconsin,Central
Kansas,Central
Nebraska,Central
North Dakota,Central
South Dakota,Central
Texas,Central
Colorado,Mountain
Montana,Mountain
New Mexico,Mountain
Utah,Mountain
Wyoming,Mountain
Arizona,Mountain
Idaho,Mountain
Oregon,Pacific
Nevada,Pacific
California,Pacific
Washington,Pacific
Alaska,Pacific
