Product_name,description
Orchid, "Orchids are plants that belong to the family Orchidaceae , a diverse and widespread group of flowering plants with blooms that are often colourful and fragrant."
Ponytail Palm, "It is an evergreen perennial growing to 15 feet 6 inches (4.72 m) with a noticeable expanded caudex, for storing water. The single palm-like stem produces terminal tufts of strap-shaped, recurved leathery leaves, sometimes hair lock-shaped in the ends, and with occasional panicles of small white flowers once the plant reaches over 10 years of age."
Pink Anthurium,"This bright pink Anthurium lives up to its nickname, the flamingo flower. Rarely without their showy blooms, Anthuriums are known as the world’s longest blooming houseplant. Each bloom can last up to eight weeks, and new ones will pop up often. These aren’t actual flowers, but modified waxy leaves. Anthuriums flourish and bloom best in bright indirect light."
Bamboo,"Bamboos are typically fast-growing perennials, with some species growing as much as 30 cm (1 foot) per day."
Spider Plant,"Spider plant produces small white flowers. Long, wiry stems up to 2 feet long are produced, sometimes with a few small leaves, especially in response to short days and long, uninterrupted nights for at least three weeks, although they may appear at any time of year indoors."
Birds Nest Fern,"Characteristics. Bird"s-nest ferns are evergreen, with solid, undivided fronds that may be a consistent width from top to bottom or taper, depending on the species."
ZZ Plant,"ZZ plant tolerates neglect, is drought tolerant, and accepts low-light conditions without throwing a fit. Its waxy, smooth leaves reflect sunlight and brighten rooms. ZZ usually grows slowly to a height and width of two to three feet so it is not a plant monster that outgrows containers quickly."
Aloe Vera,"Aloe vera is a herb with succulent leaves that are arranged in a rosette. The leaves are grey to green and sometimes have white spots on their surfaces. They have sharp, pinkish spines along their edges and are the source of the colourless gel found in many commercial and medicinal products."
Pothos,"Pothos is an evergreen plant with thick, waxy, green, heart-shaped leaves with splashes of yellow. As a houseplant, it is commonly grown as a hanging plant. Pothos can climb by means of aerial roots, and wild or cultivated plants grown outdoors can reach enormous heights using tall trees as support."
Ficus,"Most Ficus species are evergreen; there are a few deciduous members in nontropical areas. The leaves are usually simple and waxy, and most exude white or yellow latex when broken. Many species have aerial roots, and a number are epiphytic."
Majesty Palm,"The Majesty Palm is a robust, tropical palm with graceful, feathery fronds that originates from Madagascar. This palm is typically found along river banks and likely got its name due to its majestic quality. Its leaves tend to grow from the trunk in an erect fashion before arching at the ends forming a large crown."
Snake Plant,"It is a stemless evergreen perennial that, with proper care, will last for many years. In its native habitat, plant foliage may rise to as much as 4" tall, but is often smaller (to 2" tall) on indoor plants. Erect, fleshy, sharply-pointed, sword-shaped leaves are deep green with light gray-green horizontal stripes."
Alocasia Polly,""Polly", sometimes commonly sold under the name of African mask plant or elephant"s ear, is a compact hybrid that typically grows to 2" tall and as wide. Large dark green leaves not only feature dramatic silvery-green to white veins but also produce attractive shades of yellow and green when backlit by sun."
String of pearls,"String of pearls blooms in summer, producing ½ inch compound, daisy-like flowers of white discoid flowers with long red stamens and bright yellow anthers on 1½ inch long peduncles. The small flowers are not showy but are fragrant; it is said to have a sweet and spicy, cinnamon-like scent."
Boston Fern,"The pale- to medium-green fronds can grow up to 4 feet long and 6 inches wide. There are two rows of round sori (clusters of spore-bearing organs; ferns are seedless vascular plants that produce spores instead of seeds) near the margins on the underside of the pinnae."
Money Tree,"The Pachira is an evergreen broadleaf tree with hand-shaped compound leaves consisting of up to 9 leaflets. In their natural habitat the trees can grow up to 20 meters (65ft) tall. Money trees often have a slightly swollen trunk base, which also serves as a water reservoir, and the bark is brown to grey."
Angel Wings Begonia,"Angel wing begonias (Begonia coccinea), also known as cane begonias, are a type of perennial shrub known for their stiff, sturdy stems and green leaves shaped like folded wings. The angel wing begonia plant grows year-round and is native to South America."
